"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Li Z.; Akemoglu Y.; Lyu J.; Zheng Q.; Xiong J.","Li, Zhaohui (60006549700); Akemoglu, Yusuf (56342057400); Lyu, Jincheng (60020130400); Zheng, Qingxiao (57218270068); Xiong, Jinjun (7202010057)","60006549700; 56342057400; 60020130400; 57218270068; 7202010057","ASD-HI: A Parent-Child Interaction Dataset for Automated Assessment of Home Intervention","2025","Lecture Notes in Computer Science","15877 LNAI","","","48","62","2","10.1007/978-3-031-98414-3_4","https://www.scopus.com/pages/publications/105012030192?origin=resultslist","Home-based interventions are vital for supporting young children with autism spectrum disorder (ASD), yet many parents struggle to implement strategies effectively due to limited training. While specialists such as educators and speech-language pathologists provide guidance, real-time feedback outside professional settings remains scarce. To bridge this gap, we leverage advances in AI to support parents through automated assessment. However, training such AI systems requires robust data, which is currently limited. To address this, we created ASD-HI (Autism Spectrum Disorder - Home Intervention), a multi-modal dataset comparing 473 real parent-child interaction videos across three families. ASD-HI supports two core tasks: 1) Strategy Detection, identifying the behavioral strategies parents use, and 2) Fidelity Assessment, assessing the fidelity with which these strategies are implemented. We also propose a prompting-based LLM pipeline as a reference approach. It achieves 74% recall and 50% precision for strategy detection and 60% accuracy for fidelity assessment. Our work lays a foundation for developing AI-driven tools to enhance home interventions and improve outcomes for children with special needs. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Autism Spectrum Disorder; Early Intervention; Home-based Intervention; Large Language Models; Special Education","Artificial intelligence; Behavioral research; Large datasets; Autism spectrum disorders; Automated assessment; Early intervention; Home-based; Home-based intervention; Language model; Large language model; Parent-child interactions; Special education; Young children; Diseases","Conference paper","Final","","Scopus","2-s2.0-105012030192"
"Kim D.; Riley C.","Kim, Dave (60401080200); Riley, Charles (49862071400)","60401080200; 49862071400","Exploring the Capability of Generative AI as an Engineering Lab Report Assessment Assisting Tool","2025","ASEE Annual Conference and Exposition, Conference Proceedings","","","","","","0","10.18260/1-2--56525","https://www.scopus.com/pages/publications/105030281778?origin=resultslist","Since ChatGPT’s public launch in November 2022, considerable discussion and changes have occurred in higher education. Active educational research related to generative artificial intelligence (GAI) has been conducted in various areas, including student learning, ethics, and assessment. Although many authors have raised concerns about the impact of GAI, particularly a large language model (LLM), in writing education, the systematic studies related to the ethical use of GAI are limited. While grounded in the ethical adaptation of GAI in grading and feedback for engineering lab writing, we focus on GAI’s capability to assist with engineering lab report assessment. Lab report grading is time-consuming for lab instructors and teaching assistants. Moreover, constructing impactful feedback can be challenging for many reasons. In this pilot study, we used Copilot and ChatGPT 4o to conduct evaluation and feedback on student lab reports of past courses when the instructors did not use generative AI technologies. The study space was limited to the two engineering labs in two institutions: strength of materials for mechanical and civil engineering students at a 4-year public polytechnic university and engineering materials for mechanical engineering students at a 4-year R1 university. GAI tools were asked to generate scores, overall reviews, suggestions, or improvement tips. We compared the evaluation scores and feedback of each student lab graded by instructors or graduate teaching assistants with those from GAI tools. The comparative analysis results will be discussed to answer how the GAI tool’s evaluation results align with scores and feedback by instructor/TAs regarding accuracy and clarity. © 2025, American Society for Engineering Education. All rights reserved.","","Artificial intelligence; Curricula; Engineering education; Ethical technology; Feedback; Laboratories; Strength of materials; Students; Teaching; Tools; Artificial intelligence tools; Assisting tools; Educational research; High educations; Lab-report grading; Language model; Mechanical engineering students; Student assessment; Student learning; Systematic study; Grading","Conference paper","Final","","Scopus","2-s2.0-105030281778"
"Chawaremera M.M.","Chawaremera, Melisa M. (59529747400)","59529747400","Algorithmic Teaching, Fading Thought? Rethinking Engagement in the AI Era","2025","Proceedings of the 2nd International Conference on Education Research, ICER 2025","","","","18","25","1","10.34190/icer.2.1.4008","https://www.scopus.com/pages/publications/105030338476?origin=resultslist","As artificial intelligence becomes increasingly embedded in educational environments, the promise of enhanced efficiency, personalised instruction and expanded access to knowledge is celebrated globally. However, the pedagogical implications of algorithmic instruction remain under theorised, particularly with regard to critical thinking and epistemic engagement. This paper interrogates how algorithmic-driven content delivery and automated assessment systems may inadvertently narrow intellectual curiosity and encourage conformity while reducing learners to be passive recipients of information. Through a doctrinal study into interdisciplinary literature in education, philosophy and AI ethics, this paper critically analyses how AI tools that are used in instructional design may entrench a form of educational minimalism that prioritises standardisation over inquiry. While artificial intelligence can personalise learning pathways, it also risks eliminating opportunities for open-ended exploration and problem solving. Through comparative insights from South Africa and the UK, the study reveals how algorithmic learning environments can either support or suppress higher order thinking depending on contextual use and pedagogical design. This paper calls for a deliberate reconfiguration of AI-enabled education towards epistemically rich engagement. This is where learners are positioned as co-constructors of knowledge. It proposes a model of “algorithmic dialogism” that blends AI support with critical pedagogy. This will ensure that technology develops as a tool for liberation rather than control. This contribution aligns with ongoing global debates on the ethics of AI in education and seeks to influence curriculum design that furthers curiosity, dialogue and reflective thinking in the digital age. Ultimately, this paper calls for a shift from efficiency-driven instruction to education that values diversity of thought and the cultivation of critical consciousness. © Proceedings of the 2nd International Conference on Education Research, ICER 2025. All rights reserved.","Algorithmic Instruction; Artificial Intelligence in Education; Critical Thinking; Epistemic Justice; Student Engagements","Artificial intelligence; Binary alloys; Computer aided instruction; Curricula; E-learning; Education computing; Engineering education; Ethical technology; Potassium alloys; Teaching; Algorithmic instruction; Algorithmics; Artificial intelligence in education; Contents deliveries; Critical thinking; Educational environment; Enhanced efficiency; Epistemic justice; Personalized instruction; Student engagement; Efficiency","Conference paper","Final","","Scopus","2-s2.0-105030338476"
"Chu S.Y.; Kim J.W.; Wong B.; Yi M.Y.","Chu, Seong Yeub (59298085700); Kim, Jong Woo (59299029600); Wong, Bryan (58790871100); Yi, Mun Yong (7102961073)","59298085700; 59299029600; 58790871100; 7102961073","Rationale Behind Essay Scores: Enhancing S-LLM’s Multi-Trait Essay Scoring with Rationale Generated by LLMs","2025","2025 Annual Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Proceedings of the Conference Findings, NAACL 2025","","","","5811","5829","14","10.18653/v1/2025.findings-naacl.322","https://www.scopus.com/pages/publications/105028698695?origin=resultslist","Existing automated essay scoring (AES) has solely relied on essay text without using explanatory rationales for the scores, thereby forgoing an opportunity to capture the specific aspects evaluated by rubric indicators in a fine-grained manner. This paper introduces Rationale-based Multiple Trait Scoring (RMTS), a novel approach for multi-trait essay scoring that integrates prompt-engineering-based large language models (LLMs) with a fine-tuning-based essay scoring model using a smaller large language model (S-LLM). RMTS uses an LLM-based trait-wise rationale generation system where a separate LLM agent generates trait-specific rationales based on rubric guidelines, which the scoring model uses to accurately predict multi-trait scores. Extensive experiments on benchmark datasets, including ASAP, ASAP++, and Feedback Prize, show that RMTS significantly outperforms state-of-the-art models and vanilla S-LLMs in trait-specific scoring. By assisting quantitative assessment with fine-grained qualitative rationales, RMTS enhances the trait-wise reliability, providing partial explanations about essays. The code is available at https://github.com/BBeeChu/RMTS.git. ©2025 Association for Computational Linguistics.","","Natural language processing systems; Automated essay scoring; Benchmark datasets; Fine grained; Fine tuning; Generation systems; Language model; Model agents; Model use; Model-based OPC; Scoring models; Computational linguistics","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105028698695"
"Chachoui Y.; Azizi N.","Chachoui, Yasmine (58984949900); Azizi, Nabiha (36020058100)","58984949900; 36020058100","Advanced Deep Learning Model for Improving Student Evaluation in Programming Education","2025","2025 International Symposium on iNnovative Informatics of Biskra, ISNIB 2025","","","","","","1","10.1109/ISNIB64820.2025.10983895","https://www.scopus.com/pages/publications/105007283594?origin=resultslist","This paper investigates the potential applications of the pre-trained language model UniXcoder in programming education, with a focus on the utility of its embeddings in evaluating students' solutions. Due to its transformer-based architecture, UniXcoder is capable of generating syntactically and semantically meaningful code embeddings, enabling it to effectively understand and represent code patterns. The study employs these embeddings as input for predictive models to predict the correctness of student submissions. Using the Dublin introductory programming submission dataset (7,490 instances), Singapore dataset (4,393 instances), and Annaba dataset (87 instances), various machine learning models were compared. The primary contribution is the comparison of VniXcoder-based embeddings with traditional feature extraction methods. Results demonstrate that UniXcoder embeddings enhance prediction performance effectively, with the best model being the MLP with UniXcoder embeddings, achieving an accuracy of 96.06%, F1 score of 96.63%, Cohen's Kappa of 0.91, and ROC-AUC of 97.83% for the Dublin dataset. For the Singapore dataset, the MLP model achieved an accuracy of 87.71%, F1 score of 89.09%, Cohen's Kappa of 0.7504, and ROC-AUC of 92.73%. Additionally, the Balanced Bagging model on the Annaba dataset showed strong performance with an accuracy of 94.12%, F1 score of 95.24%, Cohen's Kappa of 0.8759, and ROC-AUC of 98.48%. These findings indicate that UniXcoder embeddings represent a promising approach for improving automated programming assessment.  © 2025 IEEE.","Automated Assessment; Code Embeddings; Machine Learning; Programming Education; UniXcoder","Computer aided instruction; Curricula; Deep learning; Education computing; Engineering education; Network embeddings; Teaching; Automated assessment; Code embedding; Cohen's kappas; Embeddings; F1 scores; Learning models; Machine-learning; Programming education; Singapore; Unixcoder; Students","Conference paper","Final","","Scopus","2-s2.0-105007283594"
"Rathnayake V.; Jayathilaka K.; Gunasekara A.; Liyanage S.; Kalapuge V.; Rajapakse K.; Thilakarathna T.","Rathnayake, Vihangi (60526226900); Jayathilaka, Kalinga (60526000800); Gunasekara, Ashen (60524863700); Liyanage, Sithara (60525550600); Kalapuge, Vindhya (58115224100); Rajapakse, Kaushalya (58909447800); Thilakarathna, Thusithanjana (57221867957)","60526226900; 60526000800; 60524863700; 60525550600; 58115224100; 58909447800; 57221867957","Comprehensive Smart Assignment Assessment Tool Using Large Language Models","2025","ICAC 2025 - 7th International Conference on Advancements in Computing: The Future of Computing; AI, Quantum, and Beyond","","","","","","0","10.1109/ICAC69156.2025.11361505","https://www.scopus.com/pages/publications/105033586687?origin=resultslist","The assessment of student assignments is a critical indicator of learning outcomes and academic performance. Traditional methods of evaluation require educators to manually review written reports, code submissions, and video presentations, making the process labor-intensive, time-consuming, and prone to human biases. As student enrollment grows, educators struggle to keep up with a variety of submission types, such as written reports, code repositories, and video presentations. This study aims to address these issues by introducing the Comprehensive Smart Assignment Assessment Tool (SAAT), an AI-powered system that automates assignment evaluation utilizing large language models and machine learning. SAAT comprises three core components: code assessment via the GitHub API and static code analysis methods, report analysis using NLP models, and video evaluation powered by Whisper and visual analysis tools. It also generates Viva questions using Gemini 1.5 Flash based on all submission types for personalized evaluation. An interactive interface supports efficient review of submissions and structured feedback. According to the experimental results, the system significantly reduced grading time while maintaining strong alignment with human evaluations. By automating repetitive processes and providing more accurate, context-rich feedback, the system improved consistency, fairness, and scalability in assessments. This approach improves assessment consistency, fairness, and scalability, marking a significant step toward AI-powered, data-driven educational evaluation. © 2025 IEEE.","Automated Assignment Evaluation; Educational Technology; Large Language Models","Application programming interfaces (API); Codes (symbols); Educational technology; Feedback; Learning systems; Students; Video analysis; Academic performance; Assessment tool; Automated assignment evaluation; Automated assignments; Labour-intensive; Language model; Large language model; Learning outcome; Student assignments; Video presentations; Scalability","Conference paper","Final","","Scopus","2-s2.0-105033586687"
"Gyonyoru K.I.K.; Katona J.","Gyonyoru, Klara Ida Katonane (59681279900); Katona, Jozsef (56208740200)","59681279900; 56208740200","Comprehensive Overview of the Concept and Applications of AI-based Adaptive Learning","2025","Acta Polytechnica Hungarica","22","3","","167","186","14","10.12700/APH.22.3.2025.3.9","https://www.scopus.com/pages/publications/105000355927?origin=resultslist","This paper provides a comprehensive understanding of the concept and the applications of AI-based adaptive learning, underlining its potential to revolutionize education in terms of personalization and optimization. Such systems offer personalized learning experiences by analysing vast pools of data so that the strengths and weaknesses of each student can be pinpointed. Personalization increases the learning outcomes and engagement of students by providing appropriate challenges and timely feedback. The SWOT analysis underpins a critical evaluation that AI-enhanced adaptive learning brings about: the strengths, weaknesses, opportunities, and threats in its adoption. Among the advantages are higher efficiencies, accessibility, data-driven decision making, and automated assessment. However, significant weaknesses have been well documented as a lack of personal contact, privacy issues, high costs, and possible technical problems. Furthermore, a Force Field Analysis is conducted, involving 112 test subjects, to investigate and analyse the driving and resisting forces of implementing AI adaptive learning. Driving forces include advancing technology, educational needs, social and economic pressures, facilitative government policies, and the ability to identify learning patterns, resisting forces emanating from technological failures, costs, privacy and security threats, lack of interpersonal interaction, and issues about ethics and sociology. The paper illustrates the dynamic interplay of these factors to provide strategies that would harness the supporting forces and mitigate the barriers in front. It concludes that AI-enabled adaptive learning faces several significant obstacles. At the same time, it is strongly potential for transformation into an inclusive and effective system. © 2025, Budapest Tech Polytechnical Institution. All rights reserved.","adaptive learning; Artificial Intelligence; education; Force Field Analysis; SWOT","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105000355927"
"Ara T.; Panda S.; Das J.S.; Das A.R.; Prabhugoankar S.V.","Ara, Tabassum (57188757554); Panda, Shreyansu (60557506300); Das, Jason Samuel (60607391900); Das, Amit Ranjan (60607392000); Prabhugoankar, Sidharth Vivek (60606969900)","57188757554; 60557506300; 60607391900; 60607392000; 60606969900","E-GPT: A Multi-Agent LLM Framework for Intelligent Educational Assistance","2025","2025 1st International Conference on Advancement in Futuristic Technologies, ICAFT 2025","","","","","","0","10.1109/ICAFT66710.2025.11452926","https://www.scopus.com/pages/publications/105037324275?origin=resultslist","Recent developments in Artificial Intelligence (AI) and Natural Language Processing (NLP) have significantly influenced the education sector, mainly through Large Language Models (LLMs) and Multi-Agent Systems (MAS). Educational chatbots such as GPTutor use Retrieval-Augmented Generation (RAG) and transformer-based models to offer more intelligent tutoring and automated assessment support. Still, most existing systems depend on centralized APIs and monolithic designs, which restrict scalability, adaptability to different contexts, and data privacy.In this paper, we introduce E-GPT, a locally deployable multi-agent educational chatbot framework designed to divide learning tasks among independent, specialized agents. These include a PDF-to-Quiz Generator, PDF-to-Technical Article Writer, RAG-based Chat Assistant, Question Paper Generator, and an OCR-enabled PDF Analyzer. The system integrates fine-tuned versions of LLaMA3 and Mistral models with a MongoDB-FAISS vector database, allowing efficient context retrieval and smooth collaboration between agents.Experimental results show that E-GPT improves contextual accuracy, modular scalability, and response time while maintaining user data privacy. By distributing different cognitive functions across coordinated agents, the system takes a step toward building a more adaptive, transparent, and scalable AI-driven learning environment. © 2025 IEEE.","Educational chatbots; large language models; modular AI; multi-agent systems; NLP; reinforcement learning; transformer models","Chatbots; Cognitive systems; Computer aided instruction; Data privacy; E-learning; Education computing; Educational robots; Electric generators; Intelligent agents; Learning systems; Natural language processing systems; Paper; Reinforcement learning; Scalability; Search engines; Teaching; Chatbots; Educational chatbot; Language model; Language processing; Large language model; Modular artificial intelligence; Modulars; Multiagent systems (MASs); Natural language processing; Natural languages; Reinforcement learnings; Transformer modeling; Multi agent systems","Conference paper","Final","","Scopus","2-s2.0-105037324275"
"Jumaev G.; Shukurov D.; Khudoyqulov K.; Kurbanov X.","Jumaev, Giyosjon (60019522500); Shukurov, Dadanur (60617123900); Khudoyqulov, Kamoljon (60617033200); Kurbanov, Xayotjon (60617303600)","60019522500; 60617123900; 60617033200; 60617303600","AI in Education: Revolutionizing Learning and Personalized Instruction","2025","Proceedings of International Conference on Applied Innovation in IT","13","5","","401","410","0","","https://www.scopus.com/pages/publications/105037912360?origin=resultslist","Artificial Intelligence (AI) is quickly reshaping industries globally, and the field of education is particularly poised for transformative innovation. Conventional instructional approaches frequently find it difficult to meet the varied needs and speeds of students, often resulting in deficiencies in both understanding and involvement. In response to these shortcomings, technology leveraging AI has been deployed to enrich educational experiences and boost learning achievements. The purpose of this research is to investigate how AI is fundamentally changing education, specifically concentrating on customized learning, smart tutoring systems, and improved efficiency in administrative tasks. The study adopted a literature review approach, analyzing current academic studies, case analyses, and AI implementations across both compulsory (K-12) and post-secondary education sectors. The results show that AI substantially raises student performance by providing customized teaching, adaptive evaluations, and immediate feedback via Intelligent Tutoring Systems (ITS). Furthermore, predictive data analysis enables instructors to proactively identify vulnerable students, while automation solutions alleviate administrative pressures, including tracking attendance and grading. AI-driven accessibility and language translation tools also promote an inclusive environment by assisting students from varied linguistic and cultural origins. Ultimately, AI exhibits considerable promise for enhancing individualized teaching, boosting educational effectiveness, and broadening access to high-quality learning. Nevertheless, critical issues like ethical dilemmas, data security, and the potential for decreased human interaction in educational settings require careful consideration. In summary, AI is a powerful resource that can supplement existing teaching methods, guiding the development of an educational system that is more adaptive, accessible, and successful. © 2025, Anhalt University of Applied Sciences. All rights reserved.","Administrative Tasks; Artificial Intelligence (AI); Automation in Education; Collaboration; Data Privacy; Educational Technology; Future of Education; Personalized Learning; Smart Classrooms; Teacher Support","","Conference paper","Final","","Scopus","2-s2.0-105037912360"
"Trikoili A.; Georgiou D.; Pappa C.I.; Pittich D.","Trikoili, Anna (59226026500); Georgiou, Despoina (57221104232); Pappa, Christina Ioanna (57218098754); Pittich, Daniel (57205604225)","59226026500; 57221104232; 57218098754; 57205604225","Critical Thinking Assessment in Higher Education: A Mixed-Methods Comparative Analysis of AI and Human Evaluator","2025","International Journal of Human-Computer Interaction","41","24","","15570","15583","7","10.1080/10447318.2025.2499164","https://www.scopus.com/pages/publications/105005516195?origin=resultslist","This article investigates the potential of using Artificial Intelligence (AI) to assess students’ critical thinking skills in higher education. With the growing adoption of AI technologies in educational assessment, there are prospects for streamlining evaluation processes. However, integrating AI in critical thinking assessment remains underexplored. To address this gap, we compare the grading of an educator with that generated by ChatGPT on a critical thinking test for university students. We employ a mixed-methods approach: (a) a quantitative comparison of scores and (b) a thematic analysis to explore the rationale behind the scores. The findings suggest that while AI offers broader contextual feedback, human evaluators provide precision and adherence to grading rubrics, and that universities should consider a hybrid, human and AI evaluation approach. This study contributes to the discourse on how to integrate AI into assessment practices in higher education while addressing issues of transparency and interpretability. © 2025 The Author(s). Published with license by Taylor & Francis Group, LLC.","Artificial intelligence in education (AIEd); ChatGPT; critical thinking; higher education assessment","Educational robots; Artificial intelligence in education; Artificial intelligence technologies; ChatGPT; Comparative analyzes; Critical thinking; Critical thinking skills; High education assessment; High educations; Mixed method; Students","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105005516195"
"Pulari S.R.; Jacob S.G.","Pulari, Sini Raj (57939225700); Jacob, Shomona Gracia (55279346900)","57939225700; 55279346900","Research Insights on the Ethical Aspects of AI-Based Smart Learning Environments: Review on the Confluence of Academic Enterprises and AI","2025","Procedia Computer Science","256","","","284","291","4","10.1016/j.procs.2025.02.122","https://www.scopus.com/pages/publications/105001919847?origin=resultslist","Dramatic progress in the use of AI for the design of smart learning systems has undoubtedly enhanced the professional competence of students across the globe. However, the sudden access to unlimited autonomy has posed unprecedented risks to moral and ethical practices in educational standards that far outweigh the rewards. In this research, the authors attempt to present a succinct review on the ethical implications of employing artificial intelligence in classroom education both from the educator and the student's perspective. Summarizing the loopholes in establishing strong ethical practices by virtue of AI leverage, especially in the realm of education is of utmost importance. The findings of this study revealed two main spheres of educational transformation that need to be addressed in smart academic enterprises: (a) automated review generation based on student and evaluator scores (b)infallible system to ensure adherence to ethical practices during assessments.  © 2025 The Author(s).","Automated Grading systems; Ethical AI; Intelligent tutoring systems; Smart Learning Environments","Contrastive Learning; Federated learning; Automated grading systems; Ethical AI; Ethical aspects; Ethical practices; Intelligent tutoring; Intelligent tutoring system; Learning environments; Professional competence; Smart learning environment; Tutoring system; Adversarial machine learning","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105001919847"
"Dikkatwar R.; Mohite M.; Sharma S.; P. Selvakumar P.S.; Jayadeva S.M.; Manjunath T. C. M.T.C.","Dikkatwar, Ramkrishna (57920653300); Mohite, Mittal (60126754400); Sharma, Sonal (60333455800); P. Selvakumar, P.S. (57201867763); Jayadeva, Sujay Mugaloremutt (57219330337); Manjunath T. C., M.T.C. (60020349800)","57920653300; 60126754400; 60333455800; 57201867763; 57219330337; 60020349800","Artificial Intelligence and Adaptive Learning Technologies","2025","New Media Applications in Digital Education","","","","313","338","0","10.4018/979-8-3373-5157-5.ch011","https://www.scopus.com/pages/publications/105027510670?origin=resultslist","Artificial Intelligence (AI) is profoundly reshaping the landscape of education, transforming traditional teaching and learning paradigms through automation, personalization, and data-driven insights. As educational institutions strive to meet the diverse needs of 21st-century learners, AI technologies offer unprecedented opportunities to enhance learning experiences, streamline administrative processes, and support educators in delivering more effective and inclusive instruction. AI's role in education is multifaceted—ranging from intelligent tutoring systems and automated assessment tools to adaptive learning platforms and virtual teaching assistants—each contributing to a more responsive and personalized educational environment. Routine processes such as grading multiple-choice assessments, tracking attendance, managing records, and scheduling meetings can be efficiently handled by AI-powered systems. This allows timely interventions, ensuring that support is provided before problems escalate. © 2026 by IGI Global Scientific Publishing. All rights reserved.","","Computer aided instruction; E-learning; Education computing; Engineering education; Teaching; Adaptive learning; Artificial intelligence learning; Artificial intelligence technologies; Data driven; Educational institutions; Learning paradigms; Learning technology; Personalizations; Teaching and learning; Teaching paradigm; Artificial intelligence","Book chapter","Final","","Scopus","2-s2.0-105027510670"
"Khan S.; Liow W.T.; Ang L.K.","Khan, Sumbul (57201292414); Liow, Wei Ting (60286062700); Ang, Lay Kee (55258601600)","57201292414; 60286062700; 55258601600","Human or AI? Comparing Design Thinking Assessments by Teaching Assistants and Bots","2025","TALE 2025 - 2025 IEEE International Conference on Teaching, Assessment, and Learning for Engineering, Proceedings","","","","","","0","10.1109/TALE66047.2025.11346622","https://www.scopus.com/pages/publications/105033226596?origin=resultslist","As design thinking education is growing in secondary and tertiary education, educators face a mounting challenge of evaluating creative artefacts that comprise visual and textual elements. Traditional, rubric-based methods of assessment are laborious, time-consuming, and inconsistent, due to their reliance on Teaching Assistants (TAs) in large, multi-section cohorts. This paper presents an exploratory study to investigate the reliability and perceived accuracy of AI-assisted assessment vis-à-vis TA-assisted assessment in evaluating student posters in design thinking education. Two activities were conducted with 33 Ministry of Education (MOE), Singapore school teachers, with the objective (1) to compare AI-generated scores with TA grading across three key dimensions: empathy and user understanding, identification of pain points and opportunities, and visual communication, and (2) to understand teacher preferences for AI-assigned, TA-assigned, and hybrid scores. Results showed low statistical agreement between instructor and AI scores for empathy and pain points, though slightly higher alignment for visual communication. Teachers generally preferred TA-assigned scores in six of ten samples. Qualitative feedback highlighted AI's potential for formative feedback, consistency, and student self-reflection, but raised concerns about its limitations in capturing contextual nuance and creative insight. The study underscores the need for hybrid assessment models that integrate computational efficiency with human insights. This research contributes to the evolving conversation around responsible AI adoption in creative disciplines, emphasizing the balance between automation and human judgment for scalable and pedagogically sound assessment practices. © 2025 IEEE.","AI in education; Assessment; Design Thinking","Artificial intelligence; Education computing; Feedback; Students; Teaching; Visual communication; AI in education; Assessment; Creatives; Design thinking; Exploratory studies; Ministry of Education; Multi-section; Teachers'; Teaching assistants; Tertiary education; Computational efficiency","Conference paper","Final","","Scopus","2-s2.0-105033226596"
"Gaintatzis P.S.; Mikropoulos A.T.; Belitsou M.-S.H.","Gaintatzis, Pavlos S. (54929792100); Mikropoulos, Anastasios T. (58772964200); Belitsou, Maria-Stavroula H. (60077415600)","54929792100; 58772964200; 60077415600","Improving Teaching with Artificial Intelligence Scaffolding in Physics Education with GPT","2025","Communications in Computer and Information Science","2479 CCIS","","","69","81","0","10.1007/978-3-032-02675-0_6","https://www.scopus.com/pages/publications/105014493743?origin=resultslist","This paper discusses the potential of MyGPT - a configurable bot developed with the GPT-4o model as an active instructional tool in physics education. Guided by the scaffolding strategy, we created the PhysicsBot with MyGPT tool and tested it in a simulated environment regarding its potential to achieve better learning outcomes. The general objectives of this research were threefold: exploring how effectively PhysicsBot could open and sustain dialogues, provide adaptive feedback, and foster autonomous problem-solving skills. These observations confirm that MyGPT works well to support collaborative learning and to engage in adaptive management of the level of the individual Zone of Proximal Development (ZPD) with customized guidance. However, a number of these challenges have emanated during the process related to smooth adaptation to the evolving ZPD and gradual reduction of guidance, hence suggesting areas for improvement. Higherorder bots that assess the ongoing discussion in a second, invisible to the user, thread can be developed using GPT-API. This allows for a thorough grading of conversations and refinement of the employed instructional methodology. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","MyGPT; physics education; scaffolding","Bot (Internet); Distributed computer systems; Feedback; Grading; Problem solving; Scaffolds (biology); Adaptive feedback; Autonomous problems; Instructional tool; Learning outcome; MyGPT; Physics education; Problem solving skills; Scaffolding; Simulated environment; Zone of proximal development; Scaffolds","Conference paper","Final","","Scopus","2-s2.0-105014493743"
"Sanmugam M.; Zaini K.M.; Yie D.L.","Sanmugam, Mageswaran (57096051700); Zaini, Khairulnisak Mohamad (57217007997); Yie, Darren Lim (57782335000)","57096051700; 57217007997; 57782335000","Introduction to Artificial Intelligence in Education","2025","Advances in Science, Technology and Innovation","Part F623","","","1","9","0","10.1007/978-3-031-56848-0_1","https://www.scopus.com/pages/publications/105010950438?origin=resultslist","Artificial intelligence (AI) has emerged as a transformative technology with the potential to revolutionise various sectors, including education. The integration of AI in education has gained significant attention in recent years. It has the potential to revolutionise teaching and learning practices, offering new opportunities for personalised instruction, adaptive assessment, and intelligent support systems. AI involves the development of computer systems capable of performing tasks that typically require human intelligence, such as language understanding, pattern recognition, decision-making, and data analysis. In the context of education, AI holds great potential to enhance teaching and learning experiences. Hence, this article explores the integration and impact of AI in education across all stages, from early childhood to higher education. AI facilitates personalised learning experiences in early childhood by adapting instructional approaches and content to meet young learners’ unique needs and learning styles. Intelligent tutoring systems provide individualised feedback, support, and guidance, promoting self-directed learning and academic success. AI in primary and secondary education holds great promise for empowering learners and transforming the learning experience. Adaptive learning platforms, intelligent tutoring systems, and immersive technologies like VR and AR provide personalised and engaging learning experiences. At the higher education stage, AI enhances teaching and administrative tasks. Automated grading systems streamline assessment processes, saving educators time and ensuring objectivity. AI algorithms analyse student profiles and data to provide personalised course recommendations, assisting students in making informed decisions. In conclusion, integrating AI in education across all stages can revolutionise teaching and learning by personalising learning experiences, facilitating adaptive instruction, and providing valuable insights. Balancing the benefits of AI with ethical considerations is essential for creating a comprehensive and effective educational ecosystem. However, responsible implementation, continuous evaluation, and ethical considerations are paramount to harness the full potential of AI in education and ensure equitable access and quality outcomes for all learners. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","","","Book chapter","Final","","Scopus","2-s2.0-105010950438"
